Accident Fields_Reference Number,Grid Ref: Easting,Grid Ref: Northing
5450982,424708,433490
5450982,424708,433490
5450982,424708,433490
5451015,432178,434624
5451082,425147,432501
5451082,425147,432501
5451212,441345,445167
5451354,433685,427669
5451354,433685,427669
5451680,430988,435794
5451875,430073,434404
5460281,428419,432509
5460313,427137,426480
5461093,428472,425646
5461824,425159,433316
5471493,430438,437756
5471829,425937,435567
5480311,431184,434728
5490001,431896,430385
5490001,431896,430385
5490001,431896,430385
5490001,431896,430385
5490832,427536,438584
5491021,421462,442072
5491448,429375,431376
5491448,429375,431376
54A0960,424367,445376
54A0960,424367,445376
54A1454,426715,428117
54A1489,430323,434742
54A1629,425410,440390
54B0796,430763,438805
54B0796,430763,438805
54B0816,428768,434637
54B1375,429558,431570
54B1785,435098,425906
54B1785,435098,425906
54B1837,434140,434244
54C0484,429189,431919
54C0697,427270,433815
54C1066,427196,431817
54C1177,431442,432718
54D0521,422005,433002
54D0831,430866,434168
54D0986,428882,435524
54D2147,442269,449063
54D2147,442269,449063
54E0735,443425,435624
54E0735,443425,435624
54E0735,443425,435624
54E0735,443425,435624
54E0735,443425,435624
54E1406,429416,433949
54E1996,426345,428458
54E1996,426345,428458
54F0702,435035,437653
54F0741,426277,427876
54F0854,428097,434686
54G0998,429382,433769
54G0998,429382,433769
54G0998,429382,433769
54G1360,432459,433872
54G1709,420637,441130
54H1326,426405,428496
54H1469,430614,433698
54H1553,424071,434508
54H1553,424071,434508
54H1553,424071,434508
54I0100,424308,435336
54I1128,429654,431554
54I1128,429654,431554
54I1398,436860,435605
54I1850,434721,435335
54J0156,429506,434867
54J0401,424183,438894
54J0401,424183,438894
54J0401,424183,438894
54J0596,432242,426277
54J1361,428963,433920
54J1361,428963,433920
54J1373,428718,435614
54J1643,430758,439222
54J1682,427714,439198
54J2056,429166,434830
54K0301,425321,435950
54K0782,442952,442979
54K0874,428942,429847
54K0961,429961,428112
54K1210,430417,432786
54K1258,435870,425928
54K1258,435870,425928
54K1295,435072,435108
54K1295,435072,435108
54K1408,440663,434458
54K1408,440663,434458
54K1408,440663,434458
54K1408,440663,434458
54K1664,421494,434569
54L0634,431251,445733
54L1520,426780,426683
54L2179,442929,442967
54L2179,442929,442967
54M1038,437793,432980
54N1277,430659,433453
54N1277,430659,433453
54N2088,428571,431494
54O0121,425954,437527
54O0663,430821,433408
54O1067,426052,432994
54O1067,426052,432994
54O1067,426052,432994
54O1409,429917,437012
54O1524,427600,436796
54P0421,435884,436343
54P0556,441346,431951
54P1044,425167,435072
54P1044,425167,435072
54P1044,425167,435072
54P1295,425380,440749
54P1499,439653,446793
54P1499,439653,446793
54P1499,439653,446793
54Q0363,427070,429434
54Q0363,427070,429434
54Q0517,429177,438566
54Q0589,430094,433781
54Q0801,434747,433488
54Q0982,425159,434368
54Q1152,424794,427415
54Q1152,424794,427415
54Q1152,424794,427415
54Q1152,424794,427415
54Q2014,442752,429469
54Q2038,419832,441189
54Q2038,419832,441189
54R0290,427531,426319
54R0541,428439,433338
54R0620,427789,436380
54R0675,431507,432727
54R0796,430647,433457
54R1031,420714,440967
54R1093,435348,425898
54R1093,435348,425898
54R1325,428744,430857
54R1402,430852,434109
54R1402,430852,434109
54R1517,430721,439237
54R1775,426199,427519
54S1979,432600,426847
54T1252,433811,434054
54T1480,429019,430897
54U1045,431016,428491
54U1120,433186,433935
54U1512,436678,436624
54U1690,430779,438668
54U1699,436729,433816
5510256,425709,432933
5511148,423210,434203
5511218,430794,433456
5511277,432347,433705
5520837,440141,426164
5520989,436473,434061
5520989,436473,434061
5521141,436589,436642
5521240,429389,426425
5521410,430348,432101
5530252,420690,444983
5530263,421631,433679
5530558,429933,427363
5530752,432129,429313
5531085,425409,440391
5531160,426901,439315
5531298,427314,425926
5540548,433651,434305
5541452,427686,444755
5541517,426241,426884
5551010,428097,434763
5551704,430064,433790
5570613,421345,440482
5570679,434003,427705
5570807,425906,436261
5570807,425906,436261
5571146,430098,431479
5571789,431522,435146
5571789,431522,435146
5571789,431522,435146
5571789,431522,435146
5572161,430313,431178
5580349,435461,433396
5580644,439441,430735
5580644,439441,430735
5580644,439441,430735
5581159,429858,433791
5581410,428864,440052
5581932,428633,435476
5591416,435895,436408
5591481,431006,439233
55A0266,431310,431728
55A0299,425106,436047
55A0321,428376,435451
55A0349,445195,446988
55A0349,445195,446988
55A0355,443050,441161
55A0355,443050,441161
55A0397,421934,432849
55A0597,430303,427710
55A0808,424527,437062
55A1468,429446,438115
55A1743,432752,433768
55A1757,430404,435808
55B0076,429772,439286
55B0076,429772,439286
55B0192,430146,433399
55B0472,431363,434107
55B1122,438367,440737
55B1414,426715,435726
55B1491,435392,436699
55C0941,430028,433333
55C0941,430028,433333
55C2138,429417,433941
55D0656,433145,425894
55D0749,435933,425873
55D1383,438205,448170
55D1383,438205,448170
55D1383,438205,448170
55D1491,425566,434521
55D1825,427250,433646
55E1574,428008,435414
55E1727,430532,434824
55E2037,428876,430999
55F0863,425482,435864
55F1041,432945,435013
55F1832,431176,431451
55G0193,444030,433411
55G0367,431799,433132
55G1087,427989,426088
55G1500,430169,431925
55G1500,430169,431925
55G1604,429453,431767
55G1604,429453,431767
55H0331,433860,433840
55H0390,426437,435635
55H0839,429060,440247
55I0214,425789,432609
55I0393,429319,436619
55I0440,443628,436530
55I1230,428222,435781
55I1276,420266,434234
55I1495,426560,437636
55I1804,428902,431188
55I2266,430675,436792
55J1124,442237,442921
55J1124,442237,442921
55J1124,442237,442921
55J1124,442237,442921
